iter	Passed	Remaining
232	9044	6482
233	9066	6431
234	9089	6382
235	9112	6332
236	9138	6285
237	9161	6236
238	9185	6187
239	9253	6168
240	9393	6197
241	9549	6234
242	9638	6227
243	9713	6210
244	9741	6163
245	9767	6114
246	9793	6066
247	9819	6018
248	9887	5995
249	9919	5951
250	9947	5905
251	9973	5857
252	10031	5828
253	10149	5834
254	10228	5816
255	10258	5770
256	10283	5722
257	10309	5674
258	10335	5626
259	10360	5578
260	10386	5531
261	10412	5484
262	10444	5440
263	10474	5396
264	10501	5350
265	10530	5305
266	10566	5263
267	10621	5231
268	10679	5200
269	10730	5166
270	10773	5128
271	10808	5086
272	10835	5040
273	10865	4996
274	10893	4951
275	10930	4910
276	10957	4865
277	10984	4820
278	11009	4774
279	11034	4728
280	11060	4684
281	11086	4638
282	11110	4593
283	11135	4548
284	11175	4509
285	11226	4475
286	11256	4432
287	11281	4387
288	11306	4342
289	11331	4298
290	11358	4254
291	11383	4210
292	11408	4166
293	11435	4123
294	11459	4078
295	11486	4035
296	11525	3997
297	11608	3973
298	11684	3947
299	11731	3910
300	11895	3912
301	11993	3892
302	12079	3867
303	12149	3836
304	12256	3817
305	12325	3786
306	12389	3753
307	12441	3716
308	12473	3673
309	12510	3632
310	12543	3589
311	12576	3547
312	12631	3510
313	12669	3469
314	12718	3432
315	12752	3389
316	12786	3347
317	12819	3305
318	12850	3262
319	12884	3221
320	12915	3178
321	12949	3136
322	12987	3096
323	13032	3056
324	13065	3015
325	13112	2976
326	13154	2936
327	13194	2896
328	13264	2862
329	13330	2827
330	13395	2792
331	13438	2752
332	13484	2713
333	13524	2672
334	13589	2636
335	13634	2597
336	13681	2557
337	13727	2518
338	13770	2477
339	13814	2437
340	13855	2397
341	13891	2355
342	13943	2317
343	13993	2278
344	14019	2235
345	14058	2194
346	14088	2151
347	14118	2109
348	14144	2066
349	14170	2024
350	14195	1981
351	14236	1941
352	14291	1902
353	14341	1863
354	14388	1823
355	14431	1783
356	14467	1742
357	14505	1701
358	14546	1661
359	14586	1620
360	14626	1580
361	14664	1539
362	14703	1498
363	14738	1457
364	14772	1416
365	14800	1374
366	14834	1333
367	14873	1293
368	14912	1252
369	14956	1212
370	14986	1171
371	15013	1130
372	15040	1088
373	15067	1047
374	15097	1006
375	15124	965
376	15149	924
377	15174	883
378	15201	842
379	15232	801
380	15261	761
381	15292	720
382	15319	679
383	15344	639
384	15371	598
385	15396	558
386	15421	518
387	15449	477
388	15477	437
389	15510	397
390	15546	357
391	15595	318
392	15645	278
393	15686	238
394	15729	199
395	15773	159
396	15811	119
397	15853	79
398	15891	39
399	15932	0
